"","participant","figure2","agegroup","textbox_comp.text","Type","Time","total_ss_answer","label2","type","accurate"
"10693","506315","resources/real_fg_memory_images/orig34.jpg","Older",6,"real","Pre",21,"None",NA,NA
"10694","506315","resources/real_fg_memory_images/orig34.jpg","Older",5,"real","Post",21,"None",NA,NA
"10695","506315","resources/real_fg_memory_images/orig35.jpg","Older",6,"real","Post",21,"None",NA,NA
"10696","506315","resources/real_fg_memory_images/orig35.jpg","Older",6,"real","Pre",21,"None",NA,NA
"10697","506315","resources/real_fg_memory_images/orig36.jpg","Older",7,"real","Pre",21,"None",NA,NA
"10698","506315","resources/real_fg_memory_images/orig36.jpg","Older",6,"real","Post",21,"None",NA,NA
"10699","508691","resources/real_fg_memory_images/fg1.jpg","Older",3,"artificial","Post",27,"Scam","artificial",1
"10700","508691","resources/real_fg_memory_images/fg1.jpg","Older",5,"artificial","Pre",27,"Scam","artificial",1
"10701","508691","resources/real_fg_memory_images/fg10.jpg","Older",5,"artificial","Post",27,"Neutral","artificial",1
"10702","508691","resources/real_fg_memory_images/fg10.jpg","Older",7,"artificial","Pre",27,"Neutral","artificial",1
"10703","508691","resources/real_fg_memory_images/fg11.jpg","Older",7,"artificial","Post",27,"Neutral","artificial",1
"10704","508691","resources/real_fg_memory_images/fg11.jpg","Older",8,"artificial","Pre",27,"Neutral","artificial",1
"10705","508691","resources/real_fg_memory_images/fg12.jpg","Older",7,"artificial","Pre",27,"Neutral","artificial",0
"10706","508691","resources/real_fg_memory_images/fg12.jpg","Older",4,"artificial","Post",27,"Neutral","artificial",0
"10707","508691","resources/real_fg_memory_images/fg13.jpg","Older",7,"artificial","Pre",27,"None",NA,NA
"10708","508691","resources/real_fg_memory_images/fg13.jpg","Older",4,"artificial","Post",27,"None",NA,NA
"10709","508691","resources/real_fg_memory_images/fg14.jpg","Older",9,"artificial","Pre",27,"None",NA,NA
"10710","508691","resources/real_fg_memory_images/fg14.jpg","Older",9,"artificial","Post",27,"None",NA,NA
"10711","508691","resources/real_fg_memory_images/fg15.jpg","Older",6,"artificial","Pre",27,"None",NA,NA
"10712","508691","resources/real_fg_memory_images/fg15.jpg","Older",7,"artificial","Post",27,"None",NA,NA
"10713","508691","resources/real_fg_memory_images/fg16.jpg","Older",8,"artificial","Pre",27,"None",NA,NA
"10714","508691","resources/real_fg_memory_images/fg16.jpg","Older",8,"artificial","Post",27,"None",NA,NA
"10715","508691","resources/real_fg_memory_images/fg17.jpg","Older",7,"artificial","Post",27,"None",NA,NA
"10716","508691","resources/real_fg_memory_images/fg17.jpg","Older",6,"artificial","Pre",27,"None",NA,NA
"10717","508691","resources/real_fg_memory_images/fg18.jpg","Older",8,"artificial","Pre",27,"None",NA,NA
"10718","508691","resources/real_fg_memory_images/fg18.jpg","Older",8,"artificial","Post",27,"None",NA,NA
"10719","508691","resources/real_fg_memory_images/fg2.jpg","Older",8,"artificial","Pre",27,"Scam","artificial",0
"10720","508691","resources/real_fg_memory_images/fg2.jpg","Older",7,"artificial","Post",27,"Scam","artificial",0
"10721","508691","resources/real_fg_memory_images/fg3.jpg","Older",2,"artificial","Post",27,"Scam","artificial",1
