"","participant","figure2","label2","type","total_ss_answer","accurate","agegroup","total_ss_answer_c"
"143","387610","resources/real_fg_memory_images/fg2.jpg","Scam","artificial",20,1,"Young",-5.63541666666667
"144","387610","resources/real_fg_memory_images/fg10.jpg","Neutral","artificial",20,1,"Young",-5.63541666666667
"145","391653","resources/real_fg_memory_images/orig27.jpg","Neutral","real",29,1,"Young",3.36458333333333
"146","391653","resources/real_fg_memory_images/orig23.jpg","Scam","real",29,0,"Young",3.36458333333333
"147","391653","resources/real_fg_memory_images/fg5.jpg","Scam","artificial",29,1,"Young",3.36458333333333
"148","391653","resources/real_fg_memory_images/fg6.jpg","Scam","artificial",29,0,"Young",3.36458333333333
"149","391653","resources/real_fg_memory_images/orig19.jpg","Scam","real",29,1,"Young",3.36458333333333
"150","391653","resources/real_fg_memory_images/fg8.jpg","Neutral","artificial",29,1,"Young",3.36458333333333
"151","391653","resources/real_fg_memory_images/orig26.jpg","Neutral","real",29,1,"Young",3.36458333333333
"152","391653","resources/real_fg_memory_images/fg11.jpg","Neutral","artificial",29,0,"Young",3.36458333333333
"153","391653","resources/real_fg_memory_images/orig24.jpg","Scam","real",29,1,"Young",3.36458333333333
"154","391653","resources/real_fg_memory_images/orig28.jpg","Neutral","real",29,0,"Young",3.36458333333333
"155","391653","resources/real_fg_memory_images/fg1.jpg","Scam","artificial",29,0,"Young",3.36458333333333
"156","391653","resources/real_fg_memory_images/orig30.jpg","Neutral","real",29,0,"Young",3.36458333333333
"157","391653","resources/real_fg_memory_images/fg4.jpg","Scam","artificial",29,0,"Young",3.36458333333333
"158","391653","resources/real_fg_memory_images/orig20.jpg","Scam","real",29,1,"Young",3.36458333333333
"159","391653","resources/real_fg_memory_images/fg9.jpg","Neutral","artificial",29,1,"Young",3.36458333333333
"160","391653","resources/real_fg_memory_images/orig22.jpg","Scam","real",29,1,"Young",3.36458333333333
"161","391653","resources/real_fg_memory_images/orig25.jpg","Neutral","real",29,0,"Young",3.36458333333333
"162","391653","resources/real_fg_memory_images/fg7.jpg","Neutral","artificial",29,1,"Young",3.36458333333333
"163","391653","resources/real_fg_memory_images/fg12.jpg","Neutral","artificial",29,0,"Young",3.36458333333333
"164","391653","resources/real_fg_memory_images/fg2.jpg","Scam","artificial",29,0,"Young",3.36458333333333
"165","391653","resources/real_fg_memory_images/orig21.jpg","Scam","real",29,1,"Young",3.36458333333333
"166","391653","resources/real_fg_memory_images/fg3.jpg","Scam","artificial",29,0,"Young",3.36458333333333
"167","391653","resources/real_fg_memory_images/fg10.jpg","Neutral","artificial",29,0,"Young",3.36458333333333
"168","391653","resources/real_fg_memory_images/orig29.jpg","Neutral","real",29,1,"Young",3.36458333333333
"169","398010","resources/real_fg_memory_images/fg9.jpg","Neutral","artificial",27,0,"Young",1.36458333333333
"170","398010","resources/real_fg_memory_images/fg2.jpg","Scam","artificial",27,1,"Young",1.36458333333333
"171","398010","resources/real_fg_memory_images/fg3.jpg","Scam","artificial",27,0,"Young",1.36458333333333
"172","398010","resources/real_fg_memory_images/fg12.jpg","Neutral","artificial",27,0,"Young",1.36458333333333
"173","398010","resources/real_fg_memory_images/fg5.jpg","Scam","artificial",27,0,"Young",1.36458333333333
"174","398010","resources/real_fg_memory_images/orig22.jpg","Scam","real",27,1,"Young",1.36458333333333
"175","398010","resources/real_fg_memory_images/orig27.jpg","Neutral","real",27,0,"Young",1.36458333333333
"176","398010","resources/real_fg_memory_images/fg8.jpg","Neutral","artificial",27,0,"Young",1.36458333333333
"177","398010","resources/real_fg_memory_images/fg7.jpg","Neutral","artificial",27,1,"Young",1.36458333333333
"178","398010","resources/real_fg_memory_images/fg11.jpg","Neutral","artificial",27,1,"Young",1.36458333333333
"179","398010","resources/real_fg_memory_images/orig30.jpg","Neutral","real",27,1,"Young",1.36458333333333
"180","398010","resources/real_fg_memory_images/orig23.jpg","Scam","real",27,1,"Young",1.36458333333333
"181","398010","resources/real_fg_memory_images/fg4.jpg","Scam","artificial",27,0,"Young",1.36458333333333
"182","398010","resources/real_fg_memory_images/orig25.jpg","Neutral","real",27,0,"Young",1.36458333333333
"183","398010","resources/real_fg_memory_images/orig26.jpg","Neutral","real",27,1,"Young",1.36458333333333
"184","398010","resources/real_fg_memory_images/orig28.jpg","Neutral","real",27,0,"Young",1.36458333333333
"185","398010","resources/real_fg_memory_images/orig21.jpg","Scam","real",27,1,"Young",1.36458333333333
"186","398010","resources/real_fg_memory_images/fg6.jpg","Scam","artificial",27,0,"Young",1.36458333333333
"187","398010","resources/real_fg_memory_images/fg1.jpg","Scam","artificial",27,0,"Young",1.36458333333333
"188","398010","resources/real_fg_memory_images/orig29.jpg","Neutral","real",27,1,"Young",1.36458333333333
"189","398010","resources/real_fg_memory_images/orig19.jpg","Scam","real",27,1,"Young",1.36458333333333
"190","398010","resources/real_fg_memory_images/orig24.jpg","Scam","real",27,0,"Young",1.36458333333333
"191","398010","resources/real_fg_memory_images/fg10.jpg","Neutral","artificial",27,0,"Young",1.36458333333333
"192","398010","resources/real_fg_memory_images/orig20.jpg","Scam","real",27,0,"Young",1.36458333333333
"193","422657","resources/real_fg_memory_images/orig24.jpg","Scam","real",24,1,"Young",-1.63541666666667
"194","422657","resources/real_fg_memory_images/fg4.jpg","Scam","artificial",24,1,"Young",-1.63541666666667
"195","422657","resources/real_fg_memory_images/fg8.jpg","Neutral","artificial",24,1,"Young",-1.63541666666667
"196","422657","resources/real_fg_memory_images/fg12.jpg","Neutral","artificial",24,0,"Young",-1.63541666666667
"197","422657","resources/real_fg_memory_images/fg5.jpg","Scam","artificial",24,1,"Young",-1.63541666666667
"198","422657","resources/real_fg_memory_images/fg10.jpg","Neutral","artificial",24,1,"Young",-1.63541666666667
"199","422657","resources/real_fg_memory_images/orig20.jpg","Scam","real",24,1,"Young",-1.63541666666667
"200","422657","resources/real_fg_memory_images/orig22.jpg","Scam","real",24,1,"Young",-1.63541666666667
"201","422657","resources/real_fg_memory_images/orig28.jpg","Neutral","real",24,1,"Young",-1.63541666666667
"202","422657","resources/real_fg_memory_images/fg11.jpg","Neutral","artificial",24,1,"Young",-1.63541666666667
"203","422657","resources/real_fg_memory_images/orig29.jpg","Neutral","real",24,1,"Young",-1.63541666666667
"204","422657","resources/real_fg_memory_images/orig30.jpg","Neutral","real",24,1,"Young",-1.63541666666667
"205","422657","resources/real_fg_memory_images/fg7.jpg","Neutral","artificial",24,1,"Young",-1.63541666666667
"206","422657","resources/real_fg_memory_images/orig26.jpg","Neutral","real",24,1,"Young",-1.63541666666667
"207","422657","resources/real_fg_memory_images/fg3.jpg","Scam","artificial",24,1,"Young",-1.63541666666667
"208","422657","resources/real_fg_memory_images/fg6.jpg","Scam","artificial",24,1,"Young",-1.63541666666667
"209","422657","resources/real_fg_memory_images/fg9.jpg","Neutral","artificial",24,0,"Young",-1.63541666666667
"210","422657","resources/real_fg_memory_images/orig27.jpg","Neutral","real",24,1,"Young",-1.63541666666667
"211","422657","resources/real_fg_memory_images/orig23.jpg","Scam","real",24,1,"Young",-1.63541666666667
"212","422657","resources/real_fg_memory_images/fg2.jpg","Scam","artificial",24,0,"Young",-1.63541666666667
"213","422657","resources/real_fg_memory_images/fg1.jpg","Scam","artificial",24,1,"Young",-1.63541666666667
"214","422657","resources/real_fg_memory_images/orig21.jpg","Scam","real",24,1,"Young",-1.63541666666667
"215","422657","resources/real_fg_memory_images/orig19.jpg","Scam","real",24,1,"Young",-1.63541666666667
"216","422657","resources/real_fg_memory_images/orig25.jpg","Neutral","real",24,0,"Young",-1.63541666666667
"217","482395","resources/real_fg_memory_images/fg7.jpg","Neutral","artificial",20,0,"Young",-5.63541666666667
