participant,figure2,agegroup,textbox_comp.text,Type,Time,total_ss_answer.x,label2,type,total_ss_answer.y,accurate
152441,resources/real_fg_memory_images/fg12.jpg,Young,0,artificial,Post,22,Neutral,artificial,22,0
152441,resources/real_fg_memory_images/fg4.jpg,Young,7,artificial,Post,22,Scam,artificial,22,0
152441,resources/real_fg_memory_images/fg4.jpg,Young,7,artificial,Pre,22,Scam,artificial,22,0
152441,resources/real_fg_memory_images/fg7.jpg,Young,7,artificial,Pre,22,Neutral,artificial,22,0
152441,resources/real_fg_memory_images/fg7.jpg,Young,0,artificial,Post,22,Neutral,artificial,22,0
152441,resources/real_fg_memory_images/orig23.jpg,Young,6,real,Pre,22,Scam,real,22,0
152441,resources/real_fg_memory_images/orig23.jpg,Young,3,real,Post,22,Scam,real,22,0
164281,resources/real_fg_memory_images/fg19.jpg,Young,0,artificial,Post,23,Neutral,artificial,23,0
164281,resources/real_fg_memory_images/fg19.jpg,Young,0,artificial,Pre,23,Neutral,artificial,23,0
164281,resources/real_fg_memory_images/fg20.jpg,Young,0,artificial,Post,23,Neutral,artificial,23,0
164281,resources/real_fg_memory_images/fg20.jpg,Young,3,artificial,Pre,23,Neutral,artificial,23,0
164281,resources/real_fg_memory_images/fg22.jpg,Young,1,artificial,Pre,23,Neutral,artificial,23,0
164281,resources/real_fg_memory_images/fg22.jpg,Young,0,artificial,Post,23,Neutral,artificial,23,0
164281,resources/real_fg_memory_images/fg23.jpg,Young,6,artificial,Post,23,Neutral,artificial,23,0
164281,resources/real_fg_memory_images/fg23.jpg,Young,3,artificial,Pre,23,Neutral,artificial,23,0
164281,resources/real_fg_memory_images/fg29.jpg,Young,5,artificial,Pre,23,Scam,artificial,23,0
164281,resources/real_fg_memory_images/fg29.jpg,Young,4,artificial,Post,23,Scam,artificial,23,0
164281,resources/real_fg_memory_images/orig11.jpg,Young,9,real,Post,23,Scam,real,23,0
164281,resources/real_fg_memory_images/orig11.jpg,Young,9,real,Pre,23,Scam,real,23,0
184369,resources/real_fg_memory_images/fg10.jpg,Young,6,artificial,Post,28,Neutral,artificial,28,0
184369,resources/real_fg_memory_images/fg10.jpg,Young,5,artificial,Pre,28,Neutral,artificial,28,0
184369,resources/real_fg_memory_images/fg12.jpg,Young,5,artificial,Pre,28,Neutral,artificial,28,0
184369,resources/real_fg_memory_images/fg12.jpg,Young,5,artificial,Post,28,Neutral,artificial,28,0
184369,resources/real_fg_memory_images/fg9.jpg,Young,2,artificial,Pre,28,Neutral,artificial,28,0
184369,resources/real_fg_memory_images/fg9.jpg,Young,3,artificial,Post,28,Neutral,artificial,28,0
184369,resources/real_fg_memory_images/orig25.jpg,Young,6,real,Pre,28,Neutral,real,28,0
184369,resources/real_fg_memory_images/orig25.jpg,Young,6,real,Post,28,Neutral,real,28,0
184369,resources/real_fg_memory_images/orig27.jpg,Young,2,real,Post,28,Neutral,real,28,0
184369,resources/real_fg_memory_images/orig27.jpg,Young,3,real,Pre,28,Neutral,real,28,0
