"","participant","label2","Time","Type","textbox_comp.text"
"267","215889","Neutral","Pre","artificial",5
"268","215889","Neutral","Pre","real",10
"269","215889","None","Post","artificial",1.66666666666667
"270","215889","None","Post","real",3.33333333333333
"271","215889","None","Pre","artificial",6.66666666666667
"272","215889","None","Pre","real",6.66666666666667
"273","215889","Scam","Post","artificial",3.33333333333333
"274","215889","Scam","Post","real",1.66666666666667
"275","215889","Scam","Pre","artificial",3.33333333333333
"276","215889","Scam","Pre","real",6.66666666666667
"277","237137","Neutral","Post","artificial",2.16666666666667
"278","237137","Neutral","Post","real",5.33333333333333
"279","237137","Neutral","Pre","artificial",2.16666666666667
"280","237137","Neutral","Pre","real",5
"281","237137","None","Post","artificial",3.33333333333333
"282","237137","None","Post","real",4.33333333333333
"283","237137","None","Pre","artificial",3.33333333333333
"284","237137","None","Pre","real",4.83333333333333
"285","237137","Scam","Post","artificial",2.16666666666667
"286","237137","Scam","Post","real",4.33333333333333
"287","237137","Scam","Pre","artificial",1.83333333333333
"288","237137","Scam","Pre","real",4.16666666666667
"289","240917","Neutral","Post","artificial",6.5
"290","240917","Neutral","Post","real",6.33333333333333
"291","240917","Neutral","Pre","artificial",6.5
"292","240917","Neutral","Pre","real",5.66666666666667
"293","240917","None","Post","artificial",6.83333333333333
"294","240917","None","Post","real",7.33333333333333
"295","240917","None","Pre","artificial",6.66666666666667
"296","240917","None","Pre","real",7.33333333333333
"297","240917","Scam","Post","artificial",6.16666666666667
"298","240917","Scam","Post","real",7.5
"299","240917","Scam","Pre","artificial",6
"300","240917","Scam","Pre","real",7.33333333333333
"301","248915","Neutral","Post","artificial",3.33333333333333
"302","248915","Neutral","Post","real",5
"303","248915","Neutral","Pre","artificial",0
"304","248915","Neutral","Pre","real",6.66666666666667
"305","248915","None","Post","artificial",3.33333333333333
"306","248915","None","Post","real",5
"307","248915","None","Pre","artificial",2
"308","248915","None","Pre","real",3.33333333333333
"309","248915","Scam","Post","artificial",0
"310","248915","Scam","Post","real",3.33333333333333
"311","248915","Scam","Pre","artificial",0
"312","248915","Scam","Pre","real",5
"313","259943","Neutral","Post","artificial",5.66666666666667
"314","259943","Neutral","Post","real",4.66666666666667
"315","259943","Neutral","Pre","artificial",5.66666666666667
"316","259943","Neutral","Pre","real",5
"317","259943","None","Post","artificial",4.16666666666667
"318","259943","None","Post","real",5.5
"319","259943","None","Pre","artificial",4.5
"320","259943","None","Pre","real",5.83333333333333
"321","259943","Scam","Post","artificial",6.16666666666667
"322","259943","Scam","Post","real",5.66666666666667
"323","259943","Scam","Pre","artificial",6.66666666666667
"324","259943","Scam","Pre","real",5.5
"325","281816","Neutral","Post","artificial",3.83333333333333
"326","281816","Neutral","Post","real",4.66666666666667
"327","281816","Neutral","Pre","artificial",2.33333333333333
"328","281816","Neutral","Pre","real",4.83333333333333
"329","281816","None","Post","artificial",4.66666666666667
"330","281816","None","Post","real",4.66666666666667
"331","281816","None","Pre","artificial",5
"332","281816","None","Pre","real",4
"333","281816","Scam","Post","artificial",3.66666666666667
"334","281816","Scam","Post","real",3.16666666666667
"335","281816","Scam","Pre","artificial",3.16666666666667
"336","281816","Scam","Pre","real",3.16666666666667
"337","301755","Neutral","Post","artificial",6
"338","301755","Neutral","Post","real",7.16666666666667
"339","301755","Neutral","Pre","artificial",7.16666666666667
"340","301755","Neutral","Pre","real",7.33333333333333
"341","301755","None","Post","artificial",6.33333333333333
"342","301755","None","Post","real",6.33333333333333
"343","301755","None","Pre","artificial",6.83333333333333
"344","301755","None","Pre","real",7.33333333333333
"345","301755","Scam","Post","artificial",3.16666666666667
"346","301755","Scam","Post","real",2.66666666666667
"347","301755","Scam","Pre","artificial",8.16666666666667
"348","301755","Scam","Pre","real",7.33333333333333
"349","309800","Neutral","Post","artificial",5.5
"350","309800","Neutral","Post","real",6.5
"351","309800","Neutral","Pre","artificial",6.83333333333333
"352","309800","Neutral","Pre","real",7.16666666666667
"353","309800","None","Post","artificial",5
"354","309800","None","Post","real",5.83333333333333
"355","309800","None","Pre","artificial",7
"356","309800","None","Pre","real",7.33333333333333
"357","309800","Scam","Post","artificial",5.33333333333333
"358","309800","Scam","Post","real",2.16666666666667
"359","309800","Scam","Pre","artificial",6.33333333333333
"360","309800","Scam","Pre","real",7.16666666666667
"361","312343","Neutral","Post","artificial",5.83333333333333
"362","312343","Neutral","Post","real",6.5
"363","312343","Neutral","Pre","artificial",4.16666666666667
"364","312343","Neutral","Pre","real",4.66666666666667
"365","312343","None","Post","artificial",6.16666666666667
"366","312343","None","Post","real",6.5
"367","312343","None","Pre","artificial",5.33333333333333
"368","312343","None","Pre","real",5.83333333333333
"369","312343","Scam","Post","artificial",6.16666666666667
"370","312343","Scam","Post","real",5.33333333333333
"371","312343","Scam","Pre","artificial",4.5
