"","participant","figure2","label2","textbox_comp_2.text","type","accurate","agegroup"
"108","287721","resources/real_fg_memory_images/fg6.jpg","Scam",4,"artificial",1,"Young"
"109","287721","resources/real_fg_memory_images/fg4.jpg","Scam",7,"artificial",1,"Young"
"110","287721","resources/real_fg_memory_images/fg5.jpg","Scam",8,"artificial",1,"Young"
"111","287721","resources/real_fg_memory_images/orig21.jpg","Scam",10,"real",1,"Young"
"112","287721","resources/real_fg_memory_images/fg3.jpg","Scam",9,"artificial",1,"Young"
"113","287721","resources/real_fg_memory_images/orig19.jpg","Scam",10,"real",1,"Young"
"114","287721","resources/real_fg_memory_images/fg10.jpg","Neutral",5,"artificial",0,"Young"
"115","287721","resources/real_fg_memory_images/fg11.jpg","Neutral",5,"artificial",0,"Young"
"116","287721","resources/real_fg_memory_images/orig27.jpg","Neutral",8,"real",1,"Young"
"117","287721","resources/real_fg_memory_images/fg1.jpg","Scam",6,"artificial",1,"Young"
"118","287721","resources/real_fg_memory_images/orig26.jpg","Neutral",6,"real",1,"Young"
"119","287721","resources/real_fg_memory_images/fg2.jpg","Scam",5,"artificial",1,"Young"
"120","287721","resources/real_fg_memory_images/orig23.jpg","Scam",9,"real",1,"Young"
"121","387610","resources/real_fg_memory_images/orig26.jpg","Neutral",3,"real",0,"Young"
"122","387610","resources/real_fg_memory_images/fg5.jpg","Scam",3,"artificial",0,"Young"
"123","387610","resources/real_fg_memory_images/orig30.jpg","Neutral",3,"real",1,"Young"
"124","387610","resources/real_fg_memory_images/orig28.jpg","Neutral",5,"real",1,"Young"
"125","387610","resources/real_fg_memory_images/fg7.jpg","Neutral",6,"artificial",0,"Young"
"126","387610","resources/real_fg_memory_images/fg9.jpg","Neutral",6,"artificial",1,"Young"
"127","387610","resources/real_fg_memory_images/orig23.jpg","Scam",4,"real",0,"Young"
"128","387610","resources/real_fg_memory_images/fg8.jpg","Neutral",5,"artificial",0,"Young"
"129","387610","resources/real_fg_memory_images/orig25.jpg","Neutral",6,"real",1,"Young"
"130","387610","resources/real_fg_memory_images/orig24.jpg","Scam",9,"real",1,"Young"
"131","387610","resources/real_fg_memory_images/orig20.jpg","Scam",1,"real",0,"Young"
"132","387610","resources/real_fg_memory_images/fg11.jpg","Neutral",4,"artificial",0,"Young"
"133","387610","resources/real_fg_memory_images/fg4.jpg","Scam",6,"artificial",0,"Young"
"134","387610","resources/real_fg_memory_images/fg12.jpg","Neutral",2,"artificial",0,"Young"
"135","387610","resources/real_fg_memory_images/fg1.jpg","Scam",6,"artificial",0,"Young"
"136","387610","resources/real_fg_memory_images/orig27.jpg","Neutral",6,"real",0,"Young"
"137","387610","resources/real_fg_memory_images/orig29.jpg","Neutral",7,"real",0,"Young"
"138","387610","resources/real_fg_memory_images/orig19.jpg","Scam",2,"real",1,"Young"
"139","387610","resources/real_fg_memory_images/orig22.jpg","Scam",6,"real",0,"Young"
"140","387610","resources/real_fg_memory_images/fg3.jpg","Scam",4,"artificial",1,"Young"
"141","387610","resources/real_fg_memory_images/fg6.jpg","Scam",1,"artificial",0,"Young"
"142","387610","resources/real_fg_memory_images/fg2.jpg","Scam",0,"artificial",1,"Young"
"143","387610","resources/real_fg_memory_images/fg10.jpg","Neutral",0,"artificial",1,"Young"
"144","391653","resources/real_fg_memory_images/orig27.jpg","Neutral",10,"real",1,"Young"
"145","391653","resources/real_fg_memory_images/orig23.jpg","Scam",4,"real",0,"Young"
"146","391653","resources/real_fg_memory_images/fg5.jpg","Scam",10,"artificial",1,"Young"
"147","391653","resources/real_fg_memory_images/fg6.jpg","Scam",5,"artificial",0,"Young"
"148","391653","resources/real_fg_memory_images/orig19.jpg","Scam",7,"real",1,"Young"
"149","391653","resources/real_fg_memory_images/fg8.jpg","Neutral",6,"artificial",1,"Young"
"150","391653","resources/real_fg_memory_images/orig26.jpg","Neutral",7,"real",1,"Young"
"151","391653","resources/real_fg_memory_images/fg11.jpg","Neutral",4,"artificial",0,"Young"
"152","391653","resources/real_fg_memory_images/orig24.jpg","Scam",5,"real",1,"Young"
"153","391653","resources/real_fg_memory_images/orig28.jpg","Neutral",5,"real",0,"Young"
"154","391653","resources/real_fg_memory_images/fg1.jpg","Scam",8,"artificial",0,"Young"
"155","391653","resources/real_fg_memory_images/orig30.jpg","Neutral",8,"real",0,"Young"
"156","391653","resources/real_fg_memory_images/fg4.jpg","Scam",7,"artificial",0,"Young"
"157","391653","resources/real_fg_memory_images/orig20.jpg","Scam",7,"real",1,"Young"
"158","391653","resources/real_fg_memory_images/fg9.jpg","Neutral",7,"artificial",1,"Young"
"159","391653","resources/real_fg_memory_images/orig22.jpg","Scam",6,"real",1,"Young"
"160","391653","resources/real_fg_memory_images/orig25.jpg","Neutral",6,"real",0,"Young"
"161","391653","resources/real_fg_memory_images/fg7.jpg","Neutral",5,"artificial",1,"Young"
"162","391653","resources/real_fg_memory_images/fg12.jpg","Neutral",4,"artificial",0,"Young"
"163","391653","resources/real_fg_memory_images/fg2.jpg","Scam",7,"artificial",0,"Young"
"164","391653","resources/real_fg_memory_images/orig21.jpg","Scam",8,"real",1,"Young"
"165","391653","resources/real_fg_memory_images/fg3.jpg","Scam",7,"artificial",0,"Young"
"166","391653","resources/real_fg_memory_images/fg10.jpg","Neutral",6,"artificial",0,"Young"
"167","391653","resources/real_fg_memory_images/orig29.jpg","Neutral",8,"real",1,"Young"
"168","398010","resources/real_fg_memory_images/fg9.jpg","Neutral",5,"artificial",0,"Young"
"169","398010","resources/real_fg_memory_images/fg2.jpg","Scam",4,"artificial",1,"Young"
"170","398010","resources/real_fg_memory_images/fg3.jpg","Scam",7,"artificial",0,"Young"
"171","398010","resources/real_fg_memory_images/fg12.jpg","Neutral",6,"artificial",0,"Young"
"172","398010","resources/real_fg_memory_images/fg5.jpg","Scam",6,"artificial",0,"Young"
"173","398010","resources/real_fg_memory_images/orig22.jpg","Scam",7,"real",1,"Young"
"174","398010","resources/real_fg_memory_images/orig27.jpg","Neutral",8,"real",0,"Young"
"175","398010","resources/real_fg_memory_images/fg8.jpg","Neutral",6,"artificial",0,"Young"
"176","398010","resources/real_fg_memory_images/fg7.jpg","Neutral",4,"artificial",1,"Young"
"177","398010","resources/real_fg_memory_images/fg11.jpg","Neutral",3,"artificial",1,"Young"
"178","398010","resources/real_fg_memory_images/orig30.jpg","Neutral",6,"real",1,"Young"
"179","398010","resources/real_fg_memory_images/orig23.jpg","Scam",4,"real",1,"Young"
"180","398010","resources/real_fg_memory_images/fg4.jpg","Scam",7,"artificial",0,"Young"
"181","398010","resources/real_fg_memory_images/orig25.jpg","Neutral",4,"real",0,"Young"
"182","398010","resources/real_fg_memory_images/orig26.jpg","Neutral",4,"real",1,"Young"
"183","398010","resources/real_fg_memory_images/orig28.jpg","Neutral",10,"real",0,"Young"
"184","398010","resources/real_fg_memory_images/orig21.jpg","Scam",9,"real",1,"Young"
"185","398010","resources/real_fg_memory_images/fg6.jpg","Scam",3,"artificial",0,"Young"
"186","398010","resources/real_fg_memory_images/fg1.jpg","Scam",3,"artificial",0,"Young"
"187","398010","resources/real_fg_memory_images/orig29.jpg","Neutral",10,"real",1,"Young"
"188","398010","resources/real_fg_memory_images/orig19.jpg","Scam",4,"real",1,"Young"
"189","398010","resources/real_fg_memory_images/orig24.jpg","Scam",2,"real",0,"Young"
"190","398010","resources/real_fg_memory_images/fg10.jpg","Neutral",2,"artificial",0,"Young"
"191","398010","resources/real_fg_memory_images/orig20.jpg","Scam",10,"real",0,"Young"
"192","422657","resources/real_fg_memory_images/orig24.jpg","Scam",6,"real",1,"Young"
"193","422657","resources/real_fg_memory_images/fg4.jpg","Scam",8,"artificial",1,"Young"
"194","422657","resources/real_fg_memory_images/fg8.jpg","Neutral",10,"artificial",1,"Young"
"195","422657","resources/real_fg_memory_images/fg12.jpg","Neutral",4,"artificial",0,"Young"
"196","422657","resources/real_fg_memory_images/fg5.jpg","Scam",10,"artificial",1,"Young"
"197","422657","resources/real_fg_memory_images/fg10.jpg","Neutral",3,"artificial",1,"Young"
"198","422657","resources/real_fg_memory_images/orig20.jpg","Scam",10,"real",1,"Young"
"199","422657","resources/real_fg_memory_images/orig22.jpg","Scam",10,"real",1,"Young"
"200","422657","resources/real_fg_memory_images/orig28.jpg","Neutral",10,"real",1,"Young"
"201","422657","resources/real_fg_memory_images/fg11.jpg","Neutral",4,"artificial",1,"Young"
"202","422657","resources/real_fg_memory_images/orig29.jpg","Neutral",10,"real",1,"Young"
"203","422657","resources/real_fg_memory_images/orig30.jpg","Neutral",7,"real",1,"Young"
"204","422657","resources/real_fg_memory_images/fg7.jpg","Neutral",9,"artificial",1,"Young"
"205","422657","resources/real_fg_memory_images/orig26.jpg","Neutral",10,"real",1,"Young"
"206","422657","resources/real_fg_memory_images/fg3.jpg","Scam",10,"artificial",1,"Young"
"207","422657","resources/real_fg_memory_images/fg6.jpg","Scam",6,"artificial",1,"Young"
"208","422657","resources/real_fg_memory_images/fg9.jpg","Neutral",6,"artificial",0,"Young"
"209","422657","resources/real_fg_memory_images/orig27.jpg","Neutral",10,"real",1,"Young"
"210","422657","resources/real_fg_memory_images/orig23.jpg","Scam",10,"real",1,"Young"
"211","422657","resources/real_fg_memory_images/fg2.jpg","Scam",0,"artificial",0,"Young"
"212","422657","resources/real_fg_memory_images/fg1.jpg","Scam",4,"artificial",1,"Young"
"213","422657","resources/real_fg_memory_images/orig21.jpg","Scam",9,"real",1,"Young"
"214","422657","resources/real_fg_memory_images/orig19.jpg","Scam",10,"real",1,"Young"
"215","422657","resources/real_fg_memory_images/orig25.jpg","Neutral",6,"real",0,"Young"
"216","482395","resources/real_fg_memory_images/fg7.jpg","Neutral",5,"artificial",0,"Young"
"217","482395","resources/real_fg_memory_images/fg2.jpg","Scam",10,"artificial",1,"Young"
"218","482395","resources/real_fg_memory_images/fg8.jpg","Neutral",5,"artificial",0,"Young"
"219","482395","resources/real_fg_memory_images/fg11.jpg","Neutral",5,"artificial",0,"Young"
"220","482395","resources/real_fg_memory_images/fg1.jpg","Scam",10,"artificial",1,"Young"
"221","482395","resources/real_fg_memory_images/fg3.jpg","Scam",10,"artificial",1,"Young"
"222","482395","resources/real_fg_memory_images/fg9.jpg","Neutral",4,"artificial",1,"Young"
"223","482395","resources/real_fg_memory_images/orig26.jpg","Neutral",5,"real",1,"Young"
"224","482395","resources/real_fg_memory_images/fg5.jpg","Scam",10,"artificial",1,"Young"
"225","482395","resources/real_fg_memory_images/fg4.jpg","Scam",10,"artificial",1,"Young"
"226","482395","resources/real_fg_memory_images/orig29.jpg","Neutral",10,"real",1,"Young"
"227","482395","resources/real_fg_memory_images/orig24.jpg","Scam",6,"real",0,"Young"
"228","482395","resources/real_fg_memory_images/orig23.jpg","Scam",5,"real",0,"Young"
"229","482395","resources/real_fg_memory_images/orig28.jpg","Neutral",10,"real",1,"Young"
"230","482395","resources/real_fg_memory_images/orig20.jpg","Scam",5,"real",0,"Young"
"231","482395","resources/real_fg_memory_images/orig27.jpg","Neutral",10,"real",1,"Young"
"232","482395","resources/real_fg_memory_images/fg6.jpg","Scam",10,"artificial",1,"Young"
"233","482395","resources/real_fg_memory_images/orig19.jpg","Scam",5,"real",0,"Young"
"234","482395","resources/real_fg_memory_images/fg12.jpg","Neutral",5,"artificial",0,"Young"
"235","482395","resources/real_fg_memory_images/orig30.jpg","Neutral",4,"real",0,"Young"
"236","482395","resources/real_fg_memory_images/orig22.jpg","Scam",10,"real",1,"Young"
"237","482395","resources/real_fg_memory_images/orig25.jpg","Neutral",5,"real",1,"Young"
"238","482395","resources/real_fg_memory_images/orig21.jpg","Scam",10,"real",1,"Young"
"239","482395","resources/real_fg_memory_images/fg10.jpg","Neutral",5,"artificial",0,"Young"
"240","485618","resources/real_fg_memory_images/fg9.jpg","Neutral",6,"artificial",1,"Young"
"241","485618","resources/real_fg_memory_images/fg7.jpg","Neutral",8,"artificial",1,"Young"
"242","485618","resources/real_fg_memory_images/orig26.jpg","Neutral",10,"real",1,"Young"
"243","485618","resources/real_fg_memory_images/orig29.jpg","Neutral",10,"real",1,"Young"
"244","485618","resources/real_fg_memory_images/fg2.jpg","Scam",3,"artificial",0,"Young"
"245","485618","resources/real_fg_memory_images/orig28.jpg","Neutral",10,"real",1,"Young"
"246","485618","resources/real_fg_memory_images/orig19.jpg","Scam",10,"real",1,"Young"
"247","485618","resources/real_fg_memory_images/orig21.jpg","Scam",10,"real",1,"Young"
"248","485618","resources/real_fg_memory_images/orig20.jpg","Scam",10,"real",1,"Young"
"249","485618","resources/real_fg_memory_images/fg6.jpg","Scam",2,"artificial",0,"Young"
"250","485618","resources/real_fg_memory_images/fg3.jpg","Scam",5,"artificial",1,"Young"
"251","485618","resources/real_fg_memory_images/fg10.jpg","Neutral",2,"artificial",0,"Young"
"252","485618","resources/real_fg_memory_images/orig30.jpg","Neutral",10,"real",1,"Young"
"253","485618","resources/real_fg_memory_images/fg8.jpg","Neutral",10,"artificial",1,"Young"
"254","485618","resources/real_fg_memory_images/orig23.jpg","Scam",10,"real",1,"Young"
"255","485618","resources/real_fg_memory_images/fg11.jpg","Neutral",8,"artificial",1,"Young"
"256","485618","resources/real_fg_memory_images/fg4.jpg","Scam",4,"artificial",1,"Young"
"257","485618","resources/real_fg_memory_images/orig27.jpg","Neutral",10,"real",1,"Young"
"258","485618","resources/real_fg_memory_images/fg5.jpg","Scam",3,"artificial",1,"Young"
"259","485618","resources/real_fg_memory_images/fg1.jpg","Scam",0,"artificial",1,"Young"
"260","485618","resources/real_fg_memory_images/orig24.jpg","Scam",4,"real",1,"Young"
"261","485618","resources/real_fg_memory_images/orig22.jpg","Scam",10,"real",1,"Young"
"262","485618","resources/real_fg_memory_images/fg12.jpg","Neutral",7,"artificial",1,"Young"
"263","485618","resources/real_fg_memory_images/orig25.jpg","Neutral",9,"real",1,"Young"
"264","545017","resources/real_fg_memory_images/orig24.jpg","Scam",5,"real",0,"Young"
"265","545017","resources/real_fg_memory_images/orig21.jpg","Scam",4,"real",0,"Young"
"266","545017","resources/real_fg_memory_images/fg2.jpg","Scam",6,"artificial",1,"Young"
"267","545017","resources/real_fg_memory_images/fg3.jpg","Scam",7,"artificial",1,"Young"
"268","545017","resources/real_fg_memory_images/fg5.jpg","Scam",7,"artificial",1,"Young"
"269","545017","resources/real_fg_memory_images/orig29.jpg","Neutral",8,"real",1,"Young"
"270","545017","resources/real_fg_memory_images/fg7.jpg","Neutral",5,"artificial",0,"Young"
"271","545017","resources/real_fg_memory_images/fg10.jpg","Neutral",3,"artificial",0,"Young"
"272","545017","resources/real_fg_memory_images/orig27.jpg","Neutral",8,"real",1,"Young"
"273","545017","resources/real_fg_memory_images/fg11.jpg","Neutral",7,"artificial",1,"Young"
"274","545017","resources/real_fg_memory_images/orig25.jpg","Neutral",6,"real",1,"Young"
"275","545017","resources/real_fg_memory_images/orig22.jpg","Scam",10,"real",1,"Young"
"276","545017","resources/real_fg_memory_images/fg9.jpg","Neutral",5,"artificial",0,"Young"
"277","545017","resources/real_fg_memory_images/orig30.jpg","Neutral",9,"real",1,"Young"
"278","545017","resources/real_fg_memory_images/orig19.jpg","Scam",3,"real",1,"Young"
"279","545017","resources/real_fg_memory_images/fg4.jpg","Scam",6,"artificial",1,"Young"
"280","545017","resources/real_fg_memory_images/orig28.jpg","Neutral",8,"real",1,"Young"
"281","545017","resources/real_fg_memory_images/fg6.jpg","Scam",5,"artificial",1,"Young"
"282","545017","resources/real_fg_memory_images/fg8.jpg","Neutral",7,"artificial",1,"Young"
"283","545017","resources/real_fg_memory_images/orig23.jpg","Scam",5,"real",0,"Young"
"284","545017","resources/real_fg_memory_images/orig26.jpg","Neutral",8,"real",1,"Young"
"285","545017","resources/real_fg_memory_images/fg1.jpg","Scam",5,"artificial",1,"Young"
"286","545017","resources/real_fg_memory_images/orig20.jpg","Scam",7,"real",1,"Young"
"287","545017","resources/real_fg_memory_images/fg12.jpg","Neutral",6,"artificial",0,"Young"
"288","604060","resources/real_fg_memory_images/fg4.jpg","Scam",7,"artificial",1,"Young"
"289","604060","resources/real_fg_memory_images/fg11.jpg","Neutral",4,"artificial",1,"Young"
"290","604060","resources/real_fg_memory_images/fg7.jpg","Neutral",7,"artificial",1,"Young"
"291","604060","resources/real_fg_memory_images/orig29.jpg","Neutral",9,"real",1,"Young"
"292","604060","resources/real_fg_memory_images/orig28.jpg","Neutral",10,"real",1,"Young"
"293","604060","resources/real_fg_memory_images/fg5.jpg","Scam",10,"artificial",1,"Young"
"294","604060","resources/real_fg_memory_images/fg8.jpg","Neutral",5,"artificial",1,"Young"
"295","604060","resources/real_fg_memory_images/orig30.jpg","Neutral",9,"real",1,"Young"
"296","604060","resources/real_fg_memory_images/fg9.jpg","Neutral",3,"artificial",1,"Young"
"297","604060","resources/real_fg_memory_images/orig26.jpg","Neutral",9,"real",1,"Young"
"298","604060","resources/real_fg_memory_images/orig20.jpg","Scam",8,"real",1,"Young"
"299","604060","resources/real_fg_memory_images/fg2.jpg","Scam",3,"artificial",1,"Young"
"300","604060","resources/real_fg_memory_images/fg12.jpg","Neutral",5,"artificial",0,"Young"
"301","604060","resources/real_fg_memory_images/fg6.jpg","Scam",6,"artificial",0,"Young"
"302","604060","resources/real_fg_memory_images/orig27.jpg","Neutral",4,"real",0,"Young"
"303","604060","resources/real_fg_memory_images/orig25.jpg","Neutral",3,"real",1,"Young"
"304","604060","resources/real_fg_memory_images/orig19.jpg","Scam",10,"real",1,"Young"
"305","604060","resources/real_fg_memory_images/fg10.jpg","Neutral",6,"artificial",0,"Young"
"306","604060","resources/real_fg_memory_images/orig22.jpg","Scam",10,"real",1,"Young"
"307","604060","resources/real_fg_memory_images/orig21.jpg","Scam",10,"real",1,"Young"
"308","604060","resources/real_fg_memory_images/orig24.jpg","Scam",10,"real",1,"Young"
"309","604060","resources/real_fg_memory_images/fg3.jpg","Scam",10,"artificial",1,"Young"
"310","604060","resources/real_fg_memory_images/fg1.jpg","Scam",2,"artificial",0,"Young"
"311","604060","resources/real_fg_memory_images/orig23.jpg","Scam",3,"real",1,"Young"
"312","605061","resources/real_fg_memory_images/orig30.jpg","Neutral",3,"real",0,"Young"
