"","participant","label2","Time","Type","textbox_comp.text"
"516","473890","Scam","Pre","real",5.66666666666667
"517","475074","Neutral","Post","artificial",0
"518","475074","Neutral","Post","real",5
"519","475074","Neutral","Pre","artificial",1.33333333333333
"520","475074","Neutral","Pre","real",4
"521","475074","None","Post","artificial",0
"522","475074","None","Post","real",6.66666666666667
"523","475074","None","Pre","artificial",1.66666666666667
"524","475074","None","Pre","real",5.83333333333333
"525","475074","Scam","Post","artificial",0
"526","475074","Scam","Post","real",3.5
"527","475074","Scam","Pre","artificial",0
"528","475074","Scam","Pre","real",3
"529","478150","Neutral","Post","artificial",0
"530","478150","Neutral","Post","real",6.83333333333333
"531","478150","Neutral","Pre","artificial",1.33333333333333
"532","478150","Neutral","Pre","real",5
"533","478150","None","Post","artificial",0
"534","478150","None","Post","real",7
"535","478150","None","Pre","artificial",0.333333333333333
"536","478150","None","Pre","real",7
"537","478150","Scam","Post","artificial",0
"538","478150","Scam","Post","real",6.16666666666667
"539","478150","Scam","Pre","artificial",0
"540","478150","Scam","Pre","real",4.66666666666667
"541","478757","Neutral","Post","artificial",2
"542","478757","Neutral","Post","real",3.83333333333333
"543","478757","Neutral","Pre","artificial",2
"544","478757","Neutral","Pre","real",4.66666666666667
"545","478757","None","Post","artificial",1.16666666666667
"546","478757","None","Post","real",4
"547","478757","None","Pre","artificial",1.16666666666667
"548","478757","None","Pre","real",5.33333333333333
"549","478757","Scam","Post","artificial",1.66666666666667
"550","478757","Scam","Post","real",3.83333333333333
"551","478757","Scam","Pre","artificial",1
"552","478757","Scam","Pre","real",4
"553","482395","Neutral","Post","artificial",2
"554","482395","Neutral","Post","real",5.5
"555","482395","Neutral","Pre","artificial",4.83333333333333
"556","482395","Neutral","Pre","real",6.33333333333333
"557","482395","None","Post","artificial",2.33333333333333
"558","482395","None","Post","real",5
"559","482395","None","Pre","artificial",4.66666666666667
"560","482395","None","Pre","real",5.83333333333333
"561","482395","Scam","Post","artificial",1.83333333333333
"562","482395","Scam","Post","real",3.66666666666667
"563","482395","Scam","Pre","artificial",5
"564","482395","Scam","Pre","real",6.16666666666667
"565","484966","Neutral","Post","artificial",2
"566","484966","Neutral","Post","real",4.5
"567","484966","Neutral","Pre","artificial",2.33333333333333
"568","484966","Neutral","Pre","real",4.66666666666667
"569","484966","None","Post","artificial",3
"570","484966","None","Post","real",5.66666666666667
"571","484966","None","Pre","artificial",4.83333333333333
"572","484966","None","Pre","real",6
"573","484966","Scam","Post","artificial",2
"574","484966","Scam","Post","real",4.83333333333333
"575","484966","Scam","Pre","artificial",3.33333333333333
"576","484966","Scam","Pre","real",7
"577","485618","Neutral","Post","artificial",5
"578","485618","Neutral","Post","real",9.33333333333333
"579","485618","Neutral","Pre","artificial",4
"580","485618","Neutral","Pre","real",7.33333333333333
"581","485618","None","Post","artificial",3.66666666666667
"582","485618","None","Post","real",4.5
"583","485618","None","Pre","artificial",3
"584","485618","None","Pre","real",7
"585","485618","Scam","Post","artificial",2.66666666666667
"586","485618","Scam","Post","real",1.33333333333333
"587","485618","Scam","Pre","artificial",2.83333333333333
"588","485618","Scam","Pre","real",7.5
"589","487325","Neutral","Post","artificial",5.33333333333333
"590","487325","Neutral","Post","real",6.83333333333333
"591","487325","Neutral","Pre","artificial",4.83333333333333
"592","487325","Neutral","Pre","real",4.33333333333333
"593","487325","None","Post","artificial",4.5
"594","487325","None","Post","real",5.33333333333333
"595","487325","None","Pre","artificial",4.16666666666667
"596","487325","None","Pre","real",5.33333333333333
"597","487325","Scam","Post","artificial",4
"598","487325","Scam","Post","real",3.16666666666667
"599","487325","Scam","Pre","artificial",5.83333333333333
"600","487325","Scam","Pre","real",4.66666666666667
"601","502058","Neutral","Post","artificial",6.83333333333333
"602","502058","Neutral","Post","real",6.16666666666667
"603","502058","Neutral","Pre","artificial",5.83333333333333
"604","502058","Neutral","Pre","real",5.16666666666667
"605","502058","None","Post","artificial",6.33333333333333
"606","502058","None","Post","real",6
"607","502058","None","Pre","artificial",6.5
"608","502058","None","Pre","real",5.5
"609","502058","Scam","Post","artificial",6.16666666666667
"610","502058","Scam","Post","real",6.16666666666667
"611","502058","Scam","Pre","artificial",5
"612","502058","Scam","Pre","real",4.83333333333333
"613","511","Neutral","Post","artificial",4.83333333333333
"614","511","Neutral","Post","real",4.66666666666667
"615","511","Neutral","Pre","artificial",6.33333333333333
"616","511","Neutral","Pre","real",3.33333333333333
"617","511","None","Post","artificial",4.4
"618","511","None","Post","real",5.66666666666667
"619","511","None","Pre","artificial",5.16666666666667
"620","511","None","Pre","real",3.66666666666667
"621","511","Scam","Post","artificial",3.83333333333333
"622","511","Scam","Post","real",5.8
"623","511","Scam","Pre","artificial",4.83333333333333
"624","511","Scam","Pre","real",4.16666666666667
"625","519824","Neutral","Post","artificial",3.5
"626","519824","Neutral","Post","real",3.33333333333333
"627","519824","Neutral","Pre","artificial",5.16666666666667
